,Title,Publisher,Resource,Jurisdiction_x,Portal,0_Data_desc,0_Data_format,0_Data_page,0_Data_title,0_Data_url,1_Data_desc,1_Data_format,1_Data_page,1_Data_title,1_Data_url,2_Data_desc,2_Data_format,2_Data_page,2_Data_title,2_Data_url,3_Data_desc,3_Data_format,3_Data_page,3_Data_title,3_Data_url,4_Data_desc,4_Data_format,4_Data_page,4_Data_title,4_Data_url,5_Data_desc,5_Data_format,5_Data_page,5_Data_title,5_Data_url,6_Data_desc,6_Data_format,6_Data_page,6_Data_title,6_Data_url,7_Data_format,7_Data_page,7_Data_title,7_Data_url,8_Data_format,8_Data_page,8_Data_title,8_Data_url,Contact Point,Data Portal,Data Status,Date Published,Date Updated,Description,Field,Fields of Research,Geospatial Coverage,Geospatial Topics,Jurisdiction_y,Landing Page,Language,Licence,Publisher/Agency,RDF,Tag_0,Tag_1,Tag_10,Tag_11,Tag_12,Tag_13,Tag_14,Tag_15,Tag_16,Tag_17,Tag_18,Tag_19,Tag_2,Tag_20,Tag_21,Tag_22,Tag_23,Tag_24,Tag_25,Tag_26,Tag_27,Tag_28,Tag_29,Tag_3,Tag_30,Tag_31,Tag_32,Tag_33,Tag_34,Tag_35,Tag_36,Tag_37,Tag_38,Tag_39,Tag_4,Tag_40,Tag_41,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Temporal Coverage,Type,URL,Update Frequency
0,BRUVS (TM) - Fish and Benthic survey of Inshore Shoals : Townsville 2006-11-07 to 2006-11-07,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/bruvs-tm-fish-and-benthic-survey-of-inshore-shoals-townsville-2006-11-07-to-2006-11-07/resource/d2c2bb6c-4ecd-435c-9c25-9200553f24b4,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=4b25fa00-83e0-429f-85b4-8f49c2d72c41,,HTML,https://data.gov.au/dataset/bruvs-tm-fish-and-benthic-survey-of-inshore-shoals-townsville-2006-11-07-to-2006-11-07/resource/a309567a-b9fc-434b-a665-e7711e660ed3,MTSRF Project 4.8.2,http://www.rrrc.org.au/mtsrf/theme_4/project_4_8_2.html,,HTML,https://data.gov.au/dataset/bruvs-tm-fish-and-benthic-survey-of-inshore-shoals-townsville-2006-11-07-to-2006-11-07/resource/b526575c-9699-411f-bcf4-eb502707104f,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  adc@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,"The dataset comprises 313 individuals from 45 species of fishes, sharks, rays and sea snakes observed at 5 sites (Inshore Shoals : Townsville) using 5 baited remote underwater video stations (BRUVS(TM)). 67 images were captured from these cameras.",None,," {""type"": ""Point"", ""coordinates"": [146.93965, -18.9003]}",, Commonwealth of Australia,https://data.gov.au/dataset/4a39707e-257e-4580-83a7-70810add7b95 ,English, Other ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/4a39707e-257e-4580-83a7-70810add7b95.rdf,Animals%2FVertebrates,Aquatic Ecosystems,Fish %2C Ray-finned Fishes,Fish %2C Sharks%2FRays%2FChimaeras,Human Dimensions,Marine Park zoning,Marine Protected Areas,Oceans,Representative Areas Program,Shoals,,,Benthic Habitat,,,,,,,,,,,Biological Classification,,,,,,,,,,,Biosphere,,,Coastal Processes,Community Dynamics %2C Community Structure,Ecological Dynamics,Environmental Assessments,Environmental Impacts,,Dataset,https://data.gov.au/dataset/bruvs-tm-fish-and-benthic-survey-of-inshore-shoals-townsville-2006-11-07-to-2006-11-07, unknown
1,"Progress report on the geology of the Huckitta 1:250,000 sheet, Northern Territory",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Report (pdf),PDF,https://data.gov.au/dataset/progress-report-on-the-geology-of-the-huckitta-1-250000-sheet-northern-territory/resource/7e46a7f9-2c36-471d-8dd7-3c307d9c9c54,File download,https://d28rz98at9flks.cloudfront.net/14982/Rep_067.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/81922ad6-390b-446a-b0b1-9ba3d5608983 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/81922ad6-390b-446a-b0b1-9ba3d5608983.rdf,AU-NT,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Report,,,,,,,,,,,geology,,,,,,,,,Dataset,https://data.gov.au/dataset/progress-report-on-the-geology-of-the-huckitta-1-250000-sheet-northern-territory, unknown
2,The Veevers Crater: a possible meteoritic feature,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Journal article (pdf),PDF,https://data.gov.au/dataset/the-veevers-crater-a-possible-meteoritic-feature/resource/f5a651f8-73fe-475e-845f-efd87613bb15,File download,https://d28rz98at9flks.cloudfront.net/80867/Jou1976_v1_n1_p077.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"A new crater was discovered in July, 1975 during reconnaissance geological mapping by a joint Bureau of Mineral Resources and Geological Survey of Western Australia field party in the southern part of the Canning Basin, Western Australia. The origin of the crater remains speculative. The possible alternatives are: a diapiric structure, a structure produced from a man-made explosion, a cryptovolcanic structure or a meteorite crater.",None,," {""type"": ""Polygon"", ""coordinates"": [[[125.3, -23.0], [125.4, -23.0], [125.4, -22.9], [125.3, -22.9], [125.3, -23.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/c80b13c1-61a7-4be5-b31c-f8872e4ffff3 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/c80b13c1-61a7-4be5-b31c-f8872e4ffff3.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Journal,,,,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/the-veevers-crater-a-possible-meteoritic-feature, unknown
3,"Geophysical Branch summary of activities, 1978",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Report (pdf),PDF,https://data.gov.au/dataset/geophysical-branch-summary-of-activities-1978/resource/10cf3fda-f071-443d-ad26-9823c5c0b8f1,File download,https://d28rz98at9flks.cloudfront.net/15122/Rep_213.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/4c9f37e1-4986-44be-a2d1-e5d226905075 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/4c9f37e1-4986-44be-a2d1-e5d226905075.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/geophysical-branch-summary-of-activities-1978, unknown
4,AIMS Long-term Monitoring Program,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/aims-long-term-monitoring-program/resource/ec74e181-0905-4992-b630-79b211ab9a2d,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=a17249ab-5316-4396-bb27-29f2d568f727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  adc@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,"The AIMS Long-term Monitoring Program (LTMP) is designed to detect changes in reef communities at a subregional scale. In this context, a subregion encompasses inshore, mid-shelf and outer shelf reefs across the continental shelf within one band of latitude (a sector).",None,," {""type"": ""Point"", ""coordinates"": [146.813316667, -19.1959833333]}",, Commonwealth of Australia,https://data.gov.au/dataset/32720a3f-2563-415e-8eb4-743899df83f3 ,English, Other ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/32720a3f-2563-415e-8eb4-743899df83f3.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/aims-long-term-monitoring-program, unknown
5,"Micro-examination of samples from bore No 3831 on WL Fennell's property, 70 miles northeast of Bourke, northern New South Wales",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/micro-examination-of-samples-from-bore-no-3831-on-wl-fennells-property-70-miles-northeast-of-bo/resource/4db0ed74-4a8a-46eb-a88c-f5ceadfdfadc,File download,https://d28rz98at9flks.cloudfront.net/9817/Rec1945_020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Bore No. 3831 on W.L. Fennell's property is situated about 30 miles northeast of Langbien's bores. This report describes the results of a micro-examination of samples taken from 6 feet down to 1118 feet.,None,," {""type"": ""Polygon"", ""coordinates"": [[[145.5, -30.5], [147.0, -30.5], [147.0, -29.0], [145.5, -29.0], [145.5, -30.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/94ec5d57-3b18-4895-9caa-77996b946572 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/94ec5d57-3b18-4895-9caa-77996b946572.rdf,AU-NSW,GA Publication,,,,,,,,,,,Geology,,,,,,,,,,,Record,,,,,,,,,,,geology,,,palaeontology,,,,,,Dataset,https://data.gov.au/dataset/micro-examination-of-samples-from-bore-no-3831-on-wl-fennells-property-70-miles-northeast-of-bo, unknown
6,"Plant fossils from the Tarlton Ranges, Northern Territory",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/plant-fossils-from-the-tarlton-ranges-northern-territory/resource/ca4a1711-607f-4e5f-8f70-f9253dc394c7,File download,https://d28rz98at9flks.cloudfront.net/10726/Rec1960_139.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/9bcee473-240a-4e25-9c4c-ca97ca504ea1 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/9bcee473-240a-4e25-9c4c-ca97ca504ea1.rdf,AU-NT,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/plant-fossils-from-the-tarlton-ranges-northern-territory, unknown
7,Antarctic Geodesy Field Report 2010/2011,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/antarctic-geodesy-field-report-2010-2011/resource/560cc014-2330-4d53-9f1b-f1a221d61be4,File download,https://d28rz98at9flks.cloudfront.net/74374/Rec2012_059.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"Geoscience Australia's involvement in Antarctica has primarily been focused on the maintenance and enhancement of geodetic infrastructure within the Australian Antarctic Territory (AAT).  Such infrastructure provides a fundamental reference frame for the region and supports earth monitoring science applications on local, regional and continental scales.  These foundations have furthered the development of geodesy throughout the continent and provided information on the contemporary motion of the Antarctic plate for comparison with long-term geological records.  Primary Antarctic geodetic control also contributes to a greater understanding of global earth movement though contribution to the International Terrestrial Reference Frame solutions. This report focuses on the field work undertaken during the 2010/11 Antarctic summer by Geoscience Australia surveyors at the Davis, Mawson and Macquarie Island research stations, as well as several remote sites in Eastern Antarctica.  At each of the research stations, upgrades and local monitoring surveys were performed at the continuously operating reference stations (CORS), which form part of the Australian Regional GNSS Network and also contribute to the International GNSS Service.  Remote GPS sites in the Grove Mountains, Bunger Hills, Wilson Bluff and Mt Creswell were also visited for equipment upgrades and data retrieval.  Additional surveys were undertaken directed at enhancing the spatial infrastructure around both the Larsemann and Vestfold Hills.  Support was also provided to a number of different Australian Antarctic Division projects.",None,," {""type"": ""Polygon"", ""coordinates"": [[[-180.0, -90.0], [180.0, -90.0], [180.0, -60.0], [-180.0, -60.0], [-180.0, -90.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/9c32cac0-f11c-49ee-8c35-cceccbecfc4d ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/9c32cac0-f11c-49ee-8c35-cceccbecfc4d.rdf,AQ,Antarctic data,,,,,,,,,,,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,geodesy,,,,,,Dataset,https://data.gov.au/dataset/antarctic-geodesy-field-report-2010-2011, unknown
8,Mckinlay 1:250 000 GIS Dataset,Geoscience Australia                 ,KML, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (KML),KML,https://data.gov.au/dataset/mckinlay-1-250-000-gis-dataset/resource/a63c4074-5b8c-42d3-886e-a97e3b95b615,File download,https://d28rz98at9flks.cloudfront.net/64525/64525_sf54-07_kml.zip,Download the file (tab),ZIP,https://data.gov.au/dataset/mckinlay-1-250-000-gis-dataset/resource/c16bf475-4767-4e08-bce6-c290f9972a1b,File download,https://d28rz98at9flks.cloudfront.net/64525/64525_sf54-07_tab.zip,Download the file (shp),SHP,https://data.gov.au/dataset/mckinlay-1-250-000-gis-dataset/resource/faab10d1-125a-4386-9b89-6449f94a1b65,File download,https://d28rz98at9flks.cloudfront.net/64525/64525_sf54-07_shp.zip,Download the file (pGDB),ZIP,https://data.gov.au/dataset/mckinlay-1-250-000-gis-dataset/resource/17afe950-2bae-427c-a7ce-0548108b479b,File download,https://d28rz98at9flks.cloudfront.net/64525/64525_sf54-07_pgdb.zip,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,This data is part of the series of maps that covers the whole of Australia at a scale of 1:250 000 (1cm on a map represents 2.5km on the ground) and comprises 513 maps. This is the largest scale at which published topographic maps cover the entire continent.  Data is downloadable in various distribution formats.,None,," {""type"": ""Polygon"", ""coordinates"": [[[141.0, -22.0], [142.5, -22.0], [142.5, -21.0], [141.0, -21.0], [141.0, -22.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/be30c642-432e-405f-a427-f9dc1c5f8dbf ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/be30c642-432e-405f-a427-f9dc1c5f8dbf.rdf,250K scale,AU-QLD,,,,,,,,,,,Earth Sciences,,,,,,,,,,,GIS Dataset,,,,,,,,,,,dataset,,,topography,,,,,,Dataset,https://data.gov.au/dataset/mckinlay-1-250-000-gis-dataset, unknown
9,Distribution of Vitamin B12 in waters of the central Great Barrier Reef,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/distribution-of-vitamin-b12-in-waters-of-the-central-great-barrier-reef/resource/1b5c75fe-26a5-48af-81c4-02cc470040aa,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=827e2ae3-27b4-4e07-96e9-745fca76101b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  adc@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,"A highly sensitive and selective method was used to estimate concentrations of cyanocobalamin (Vitamin B12) in sea water along a transect of reefs across the central portion of the Great Barrier Reef. Water samples were collected from a depth of 0.5 m along each transect (moving from reef front to reef back) at Pandora, Rib and Myrmidon Reefs. Samples were also collected from Palm Passage at a depth of 10m. ",None,," {""type"": ""Point"", ""coordinates"": [147.389124, -18.266752]}",, Commonwealth of Australia,https://data.gov.au/dataset/a7c39ae2-5605-4fb1-8d48-019a6b2bf11c ,English, Other ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/a7c39ae2-5605-4fb1-8d48-019a6b2bf11c.rdf,Liquid Chromatography,Radioimmunoassay,,,,,,,,,,,Vitamin B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/distribution-of-vitamin-b12-in-waters-of-the-central-great-barrier-reef, notPlanned
