,Unique_ID,Publisher/Agency,Type
0,162383,Geoscience Australia                 ,Publisher/Agency
1,162384,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,Publisher/Agency
2,162385,"School of Civil, Environmental and Mining Engineering (CEME), The University of Western Australia (UWA)                 ",Publisher/Agency
3,162386,Australian Antarctic Division                 ,Publisher/Agency
4,162387,Environment Protection Authority Tasmania                 ,Publisher/Agency
5,162388,,Publisher/Agency
6,162389,CSIRO Oceans & Atmosphere - Hobart                 ,Publisher/Agency
7,162390,"College of Science, Technology and Engineering (CSTE), James Cook University (JCU)                 ",Publisher/Agency
8,162391,Australian Defence Force Academy (ADFA)                 ,Publisher/Agency
9,162392,Naval Oceanographic Office (NAVO)                 ,Publisher/Agency
10,162393,"Ocean Technology Group (OTG), The University of Sydney (USYD)                 ",Publisher/Agency
11,162394,"Integrated Catchment Assessment and Management Centre (iCAM), The Australian National University (ANU)                 ",Publisher/Agency
12,162395,BMT Oceanica                 ,Publisher/Agency
13,162396,"Department of Parks and Wildlife (DPaW), Western Australian Government                 ",Publisher/Agency
14,162397,National Institute of Water and Atmosphere (NIWA)                 ,Publisher/Agency
15,162398,Australian National University                 ,Publisher/Agency
16,162399,N/A                 ,Publisher/Agency
17,162400,"Maritime Division, Defence Science and Technology Group (DST Group)                 ",Publisher/Agency
18,162401,"School of Plant Biology (SPB), The University of Western Australia (UWA)                 ",Publisher/Agency
19,162402,CSIRO Division of Marine and Atmospheric Research - Hobart                 ,Publisher/Agency
20,162403,FishBase                 ,Publisher/Agency
21,162404,"Romberg Tiburon Center for Environmental Studies (RTC), San Francisco State University (SFSU)                 ",Publisher/Agency
22,162405,"School of BioSciences, The University of Melbourne                 ",Publisher/Agency
23,162406,Oregon State University (OSU)                 ,Publisher/Agency
24,162407,"College of Marine And Environmental Sciences (CMES), James Cook University (JCU)                 ",Publisher/Agency
25,162408,Cliffs Natural Resources                 ,Publisher/Agency
