,Unique_ID,Name,Type
0,25110,Earth Sciences,Tag
1,25111,,Tag
2,25112,Conductivity,Tag
3,25113,Data Package,Tag
4,25114,Bathymetry Grid,Tag
5,25115,AMD,Tag
6,25116,CO2 capture,Tag
7,25117,Ammonia,Tag
8,25118,Administrative Boundaries,Tag
9,25119,Attitudes%2Cpreferences%2Cbehavior,Tag
10,25120,Administrative Boundary,Tag
11,25121,Aquatic Habitat,Tag
12,25122,Australia,Tag
13,25123,Marine Sediments,Tag
14,25124,Bulletin,Tag
15,25125,Fish,Tag
16,25126,ADELIE PENGUIN,Tag
17,25127,Atmosphere,Tag
18,25128,GA Publication,Tag
19,25129,Ocean Temperature,Tag
20,25130,Climate change,Tag
21,25131,Contaminants,Tag
22,25132,DEM pixel,Tag
23,25133,25 416033,Tag
24,25134,41 206001,Tag
25,25135,Marine Data,Tag
26,25136,Carbonate,Tag
27,25137,25 416003,Tag
28,25138,28 960036,Tag
29,25139,ACE%2FCRC,Tag
30,25140,Antarctic data,Tag
31,25141,Backscatter Grid,Tag
32,25142,Biosphere,Tag
33,25143,Bathymetry,Tag
34,25144,Diet%2C Predators,Tag
35,25145,Appendicularia,Tag
36,25146,51200000,Tag
37,25147,24 488001,Tag
38,25148,10 000000,Tag
39,25149,Biogeochemical Cycles,Tag
40,25150,Baseline,Tag
41,25151,28 756901,Tag
42,25152,Marine Biology,Tag
43,25153,Beaches,Tag
44,25154,CERF,Tag
45,25155,11 293003,Tag
46,25156,Agricultural Aquatic Sciences,Tag
47,25157,Biomass,Tag
48,25158,54 100001,Tag
49,25159,Ocean Optics,Tag
50,25160,Ocean Winds,Tag
51,25161,3D model,Tag
52,25162,20 000000,Tag
53,25163,Coastal Processes,Tag
54,25164,Abstract,Tag
55,25165,AEM,Tag
56,25166,Isotopes,Tag
57,25167,28960043,Tag
58,25168,Alkalinity,Tag
59,25169,Administrative Divisions,Tag
60,25170,428005%2C Southern Longfin Goby%2C Favonigobius latera,Tag
61,25171,Build Environment and Design,Tag
62,25172,24 200165,Tag
63,25173,Ocean Circulation,Tag
64,25174,Abundance,Tag
65,25175,37 353003,Tag
66,25176,DEM,Tag
67,25177,ALKALI,Tag
68,25178,GIS Dataset,Tag
69,25179,23257006,Tag
70,25180,63 318000,Tag
71,25181,Carbonate Sediments,Tag
72,25182,Chlorophyll,Tag
73,25183,20 331002,Tag
74,25184,Natural Resources,Tag
75,25185,63 617002,Tag
76,25186,Anous stolidus,Tag
77,25187,Continental Shelf,Tag
78,25188,63 617003,Tag
79,25189,ATLANTIC OCEAN,Tag
80,25190,Mean Temperature%2C Minimum Temperature%2C Maximum Tem,Tag
81,25191,Chart,Tag
82,25192,53001900,Tag
83,25193,23257002,Tag
84,25194,Earthquake Dynamics,Tag
85,25195,ADBEX III,Tag
86,25196,Antarctica,Tag
87,25197,Internal Waves,Tag
88,25198,AMD%2FAU,Tag
89,25199,Environmental Sciences,Tag
90,25200,Ecosystem Model,Tag
91,25201,Nephelometer,Tag
92,25202,External Publication,Tag
93,25203,AGE,Tag
94,25204,Atmospheric Winds,Tag
95,25205,Marine Geoscience,Tag
96,25206,Oceans,Tag
97,25207,Discharge%2Fflow,Tag
98,25208,Behavioural Ecology,Tag
99,25209,AIR TEMPERATURE,Tag
100,25210,NERP Marine Biodiversity Hub,Tag
101,25211,CTD %28Conductivity,Tag
102,25212,Sponges,Tag
103,25213,Derwent Estuary,Tag
104,25214,Disease%2C Ecotoxicology,Tag
105,25215,Hydrogeology,Tag
106,25216,Ecological Dynamics,Tag
107,25217,WMS,Tag
108,25218,Foraminifera,Tag
109,25219,Buoy world ocean,Tag
110,25220,11 000000,Tag
111,25221,Carbon Dioxide,Tag
112,25222,Bay closing line,Tag
113,25223,28 767018,Tag
114,25224,Marine Habitat,Tag
115,25225,Nutrients,Tag
116,25226,Current Meter,Tag
117,25227,Foraminifers,Tag
118,25228,Agricultural Economics,Tag
119,25229,Diatoms,Tag
120,25230,Adaptation,Tag
121,25231,20 331013,Tag
122,25232,BOUNDARIES-Biophysical,Tag
123,25233,Physical Geography and Environmental Geoscience,Tag
124,25234,Coral Reefs,Tag
125,25235,Airborne Digital Data,Tag
126,25236,Ocean%2Flake Records,Tag
127,25237,Promotional Material,Tag
128,25238,Agricultural and Natural Resource Economics%3B Envir,Tag
129,25239,Agriculture,Tag
130,25240,Dissolved Gases,Tag
131,25241,11 500000,Tag
132,25242,Boundaries,Tag
133,25243,Database,Tag
134,25244,Benthic Habitat,Tag
135,25245,Bacteria,Tag
136,25246,Acanthopagrus butcheri,Tag
137,25247,C61,Tag
138,25248,ALKALI_FLAG_W,Tag
139,25249,Multimedia,Tag
140,25250,Amphibolis sp.,Tag
141,25251,Diomedea%09cauta,Tag
142,25252,Atmospheric Pressure,Tag
143,25253,Brine discharge%3B,Tag
144,25254,53120000,Tag
145,25255,Earthquake Occurrences,Tag
146,25256,Web Service,Tag
147,25257,EARTH SCIENCE %3E BIOSPHERE %3E VEGETATION %3E CARBON,Tag
148,25258,GEOGRAPHIC REGION %3E POLAR,Tag
149,25259,seabed,Tag
150,25260,CAML %3E CENSUS OF ANTARCTIC MARINE LIFE,Tag
151,25261,Sediment egestion,Tag
152,25262,Marine Invertebrates,Tag
153,25263,EARTH SCIENCE %3E CRYOSPHERE %3E SEA ICE %3E ICE FLOES,Tag
154,25264,MARINE,Tag
155,25265,EARTH SCIENCE %3E CRYOSPHERE %3E SEA ICE %3E ICE DEPTH%2FT,Tag
156,25266,PARK,Tag
157,25267,Water Temperature,Tag
158,25268,R%2FV AA %3E R%2FV Aurora Australis,Tag
159,25269,EARTH SCIENCE %3E CRYOSPHERE %3E SEA ICE %3E SEA ICE CON,Tag
160,25270,DATE,Tag
161,25271,Reproduction%2C Maturity%2C Spawning%2C Eggs%2C Larvae,Tag
162,25272,PISTON SAMPLERS,Tag
163,25273,Echinodermata,Tag
